ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (GNU libc 2.39)|54|4.236|4.238|4.245|4.238|0.042|11.867|0.005
strchr (Arm OR 23.01)|54|11.361|11.365|11.369|11.365|0.017|4.425|0.001
strchr (LI-PaRAD)|55|7.123|7.127|7.134|7.127|0.03|7.187|0.002
strchr (GNU libc 2.39)|55|4.236|4.238|4.247|4.238|0.052|12.087|0.006
strchr (Arm OR 23.01)|55|11.36|11.365|11.371|11.365|0.018|4.507|0.001
strchr (LI-PaRAD)|56|7.123|7.128|7.136|7.128|0.034|7.317|0.002
strchr (GNU libc 2.39)|56|4.236|4.238|4.247|4.238|0.046|12.306|0.006
strchr (Arm OR 23.01)|56|11.36|11.365|11.396|11.365|0.034|4.589|0.002
strchr (LI-PaRAD)|57|7.122|7.127|7.139|7.127|0.033|7.448|0.002
strchr (GNU libc 2.39)|57|4.236|4.238|4.269|4.238|0.084|12.526|0.01
strchr (Arm OR 23.01)|57|11.361|11.366|11.37|11.365|0.019|4.671|0.001
strchr (LI-PaRAD)|58|7.123|7.128|7.139|7.127|0.034|7.579|0.003
strchr (GNU libc 2.39)|58|4.235|4.238|4.245|4.238|0.043|12.746|0.005
strchr (Arm OR 23.01)|58|11.361|11.365|11.371|11.365|0.019|4.753|0.001
strchr (LI-PaRAD)|59|7.122|7.128|7.138|7.127|0.031|7.71|0.002
strchr (GNU libc 2.39)|59|4.236|4.238|4.246|4.238|0.041|12.966|0.005
strchr (Arm OR 23.01)|59|11.361|11.365|11.371|11.365|0.018|4.835|0.001
strchr (LI-PaRAD)|60|7.122|7.127|7.146|7.127|0.044|7.84|0.003
strchr (GNU libc 2.39)|60|4.236|4.238|4.243|4.238|0.04|13.186|0.005
strchr (Arm OR 23.01)|60|11.36|11.366|11.369|11.365|0.018|4.917|0.001
strchr (LI-PaRAD)|61|7.123|7.127|7.134|7.127|0.029|7.971|0.002
strchr (GNU libc 2.39)|61|4.236|4.238|4.246|4.238|0.049|13.404|0.007
strchr (Arm OR 23.01)|61|11.361|11.365|11.37|11.365|0.019|4.999|0.001
strchr (LI-PaRAD)|62|7.122|7.127|7.135|7.127|0.028|8.102|0.002
strchr (GNU libc 2.39)|62|4.236|4.238|4.248|4.238|0.044|13.625|0.006
strchr (Arm OR 23.01)|62|11.361|11.366|11.369|11.365|0.019|5.081|0.001
strchr (LI-PaRAD)|63|7.122|7.128|7.139|7.127|0.037|8.232|0.003
strchr (GNU libc 2.39)|63|4.236|4.238|4.246|4.238|0.048|13.845|0.007
strchr (Arm OR 23.01)|63|11.361|11.365|11.385|11.366|0.027|5.162|0.001
strchr (LI-PaRAD)|64|8.858|8.86|8.875|8.861|0.029|6.727|0.002
strchr (GNU libc 2.39)|64|4.62|4.623|4.658|4.623|0.089|12.892|0.011
strchr (Arm OR 23.01)|64|14.635|14.64|14.645|14.64|0.014|4.071|0.001
strchr (LI-PaRAD)|65|8.857|8.86|8.872|8.86|0.026|6.832|0.002
strchr (GNU libc 2.39)|65|4.62|4.623|4.633|4.623|0.056|13.094|0.007
strchr (Arm OR 23.01)|65|14.636|14.64|14.643|14.64|0.013|4.135|0.001
strchr (LI-PaRAD)|66|8.858|8.86|8.87|8.861|0.028|6.937|0.002
strchr (GNU libc 2.39)|66|4.62|4.623|4.631|4.623|0.045|13.296|0.006
strchr (Arm OR 23.01)|66|14.636|14.64|14.645|14.64|0.015|4.199|0.001
strchr (LI-PaRAD)|67|8.857|8.86|8.87|8.861|0.028|7.042|0.002
strchr (GNU libc 2.39)|67|4.62|4.623|4.628|4.623|0.044|13.497|0.006
strchr (Arm OR 23.01)|67|14.636|14.64|14.655|14.64|0.018|4.262|0.001
strchr (LI-PaRAD)|68|8.858|8.86|8.872|8.861|0.026|7.147|0.002
strchr (GNU libc 2.39)|68|4.62|4.623|4.63|4.623|0.047|13.699|0.006
strchr (Arm OR 23.01)|68|14.635|14.639|14.686|14.64|0.039|4.326|0.002
strchr (LI-PaRAD)|69|8.858|8.86|8.867|8.86|0.025|7.253|0.002
strchr (GNU libc 2.39)|69|4.62|4.623|4.63|4.623|0.049|13.899|0.007
