ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcpy (GNU libc 2.39)|29|2.749|2.791|2.799|2.785|0.433|9.697|0.042
strcpy (Arm OR 23.01)|29|5.916|6.14|6.26|6.138|1.246|4.401|0.055
strcpy (LI-PaRAD)|30|2.649|2.683|2.726|2.681|0.684|10.42|0.071
strcpy (GNU libc 2.39)|30|3.067|3.078|3.089|3.078|0.179|9.077|0.016
strcpy (Arm OR 23.01)|30|5.775|5.809|5.899|5.808|0.535|4.811|0.026
strcpy (LI-PaRAD)|31|2.31|2.311|2.322|2.312|0.083|12.489|0.01
strcpy (GNU libc 2.39)|31|2.724|2.764|2.773|2.76|0.385|10.46|0.04
strcpy (Arm OR 23.01)|31|5.914|6.149|6.301|6.144|1.218|4.699|0.058
strcpy (LI-PaRAD)|32|9.413|9.419|9.442|9.419|0.037|3.164|0.001
strcpy (GNU libc 2.39)|32|3.458|3.489|3.52|3.489|0.245|8.542|0.021
strcpy (Arm OR 23.01)|32|7.508|7.514|7.518|7.513|0.025|3.967|0.001
strcpy (LI-PaRAD)|33|8.162|8.296|8.345|8.277|0.618|3.713|0.023
strcpy (GNU libc 2.39)|33|3.604|3.613|3.626|3.613|0.095|8.507|0.008
strcpy (Arm OR 23.01)|33|9.885|9.92|9.985|9.927|0.153|3.096|0.005
strcpy (LI-PaRAD)|34|9.402|9.42|9.432|9.419|0.057|3.362|0.002
strcpy (GNU libc 2.39)|34|3.483|3.489|3.506|3.489|0.111|9.076|0.01
strcpy (Arm OR 23.01)|34|7.508|7.514|7.521|7.513|0.026|4.214|0.001
strcpy (LI-PaRAD)|35|8.148|8.202|8.421|8.224|0.812|3.964|0.032
strcpy (GNU libc 2.39)|35|3.604|3.613|3.627|3.612|0.098|9.023|0.009
strcpy (Arm OR 23.01)|35|9.908|9.918|9.976|9.924|0.136|3.285|0.004
strcpy (LI-PaRAD)|36|9.414|9.42|9.439|9.42|0.034|3.559|0.001
strcpy (GNU libc 2.39)|36|3.464|3.488|3.507|3.488|0.202|9.611|0.019
strcpy (Arm OR 23.01)|36|7.508|7.514|10.608|8.163|15.274|4.187|0.527
strcpy (LI-PaRAD)|37|8.155|8.2|8.42|8.228|0.906|4.188|0.037
strcpy (GNU libc 2.39)|37|3.604|3.613|3.623|3.612|0.08|9.539|0.008
strcpy (Arm OR 23.01)|37|9.906|9.919|9.961|9.924|0.12|3.472|0.004
strcpy (LI-PaRAD)|38|9.401|9.417|9.433|9.413|0.089|3.76|0.003
strcpy (GNU libc 2.39)|38|3.482|3.488|3.507|3.489|0.113|10.144|0.011
strcpy (Arm OR 23.01)|38|7.508|7.514|7.517|7.513|0.024|4.71|0.001
strcpy (LI-PaRAD)|39|8.153|8.197|8.422|8.221|0.825|4.418|0.036
strcpy (GNU libc 2.39)|39|3.604|3.613|3.622|3.612|0.095|10.055|0.01
strcpy (Arm OR 23.01)|39|9.906|9.919|9.97|9.925|0.138|3.659|0.005
strcpy (LI-PaRAD)|40|3.067|3.071|3.077|3.071|0.076|12.131|0.009
strcpy (GNU libc 2.39)|40|3.453|3.483|3.511|3.481|0.279|10.702|0.03
strcpy (Arm OR 23.01)|40|7.527|7.704|7.709|7.677|0.629|4.853|0.031
strcpy (LI-PaRAD)|41|3.067|3.071|3.094|3.071|0.105|12.433|0.013
strcpy (GNU libc 2.39)|41|3.477|3.481|3.491|3.482|0.068|10.967|0.007
strcpy (Arm OR 23.01)|41|7.317|7.446|7.703|7.452|1.087|5.125|0.055
strcpy (LI-PaRAD)|42|3.064|3.067|3.075|3.067|0.077|12.753|0.01
strcpy (GNU libc 2.39)|42|3.479|3.483|3.501|3.484|0.107|11.228|0.012
strcpy (Arm OR 23.01)|42|7.316|7.376|7.657|7.4|1.085|5.286|0.057
strcpy (LI-PaRAD)|43|3.069|3.073|3.079|3.073|0.073|13.033|0.01
strcpy (GNU libc 2.39)|43|3.435|3.475|3.5|3.473|0.263|11.53|0.031
strcpy (Arm OR 23.01)|43|7.315|7.413|7.689|7.438|1.229|5.385|0.066
strcpy (LI-PaRAD)|44|3.066|3.071|3.089|3.071|0.096|13.345|0.013
strcpy (GNU libc 2.39)|44|3.478|3.483|3.499|3.484|0.084|11.763|0.01
strcpy (Arm OR 23.01)|44|7.314|7.375|7.705|7.428|1.652|5.519|0.09
strcpy (LI-PaRAD)|45|3.067|3.071|3.08|3.071|0.081|13.648|0.011
strcpy (GNU libc 2.39)|45|3.477|3.482|3.495|3.482|0.076|12.037|0.009
strcpy (Arm OR 23.01)|45|7.314|7.496|7.703|7.497|1.524|5.591|0.085
strcpy (LI-PaRAD)|46|3.063|3.068|3.078|3.068|0.083|13.965|0.012
strcpy (GNU libc 2.39)|46|3.457|3.483|3.509|3.483|0.199|12.298|0.025
strcpy (Arm OR 23.01)|46|7.314|7.422|7.668|7.432|1.331|5.765|0.076
strcpy (LI-PaRAD)|47|3.066|3.07|3.096|3.07|0.115|14.259|0.016
strcpy (GNU libc 2.39)|47|3.471|3.475|3.508|3.475|0.113|12.596|0.014
strcpy (Arm OR 23.01)|47|7.317|7.576|7.697|7.548|1.249|5.8|0.073
strcpy (LI-PaRAD)|48|3.056|3.079|3.094|3.078|0.13|14.521|0.019
strcpy (GNU libc 2.39)|48|4.131|4.135|4.143|4.136|0.047|10.809|0.005
strcpy (Arm OR 23.01)|48|7.331|7.48|7.649|7.462|1.095|5.991|0.066
strcpy (LI-PaRAD)|49|3.068|3.074|3.085|3.074|0.105|14.845|0.016
strcpy (GNU libc 2.39)|49|4.099|4.103|4.127|4.103|0.076|11.121|0.008
strcpy (Arm OR 23.01)|49|7.381|7.588|7.702|7.571|1.016|6.028|0.061
strcpy (LI-PaRAD)|50|3.073|3.08|3.096|3.08|0.097|15.118|0.015
strcpy (GNU libc 2.39)|50|4.132|4.135|4.14|4.135|0.039|11.261|0.004
strcpy (Arm OR 23.01)|50|7.344|7.472|7.697|7.463|1.221|6.241|0.076
strcpy (LI-PaRAD)|51|3.05|3.067|3.103|3.067|0.182|15.485|0.028
strcpy (GNU libc 2.39)|51|4.092|4.095|4.102|4.095|0.038|11.599|0.004
strcpy (Arm OR 23.01)|51|7.334|7.514|7.704|7.506|1.197|6.329|0.076
strcpy (LI-PaRAD)|52|3.072|3.082|3.089|3.082|0.101|15.716|0.016
strcpy (GNU libc 2.39)|52|4.132|4.137|4.156|4.138|0.067|11.705|0.008
strcpy (Arm OR 23.01)|52|7.324|7.4|7.623|7.425|1.045|6.523|0.068
strcpy (LI-PaRAD)|53|3.065|3.074|3.086|3.074|0.118|16.055|0.019
strcpy (GNU libc 2.39)|53|4.1|4.103|4.123|4.103|0.072|12.031|0.009
strcpy (Arm OR 23.01)|53|7.339|7.568|7.686|7.551|1.08|6.538|0.071
strcpy (LI-PaRAD)|54|3.075|3.079|3.106|3.08|0.123|16.329|0.02
strcpy (GNU libc 2.39)|54|4.132|4.135|4.146|4.135|0.049|12.161|0.006
strcpy (Arm OR 23.01)|54|7.355|7.446|7.706|7.466|1.066|6.737|0.071
strcpy (LI-PaRAD)|55|3.056|3.067|3.182|3.069|0.454|16.689|0.073
strcpy (GNU libc 2.39)|55|4.091|4.094|4.101|4.095|0.042|12.509|0.005
strcpy (Arm OR 23.01)|55|7.432|7.666|7.707|7.656|0.69|6.691|0.047
strcpy (LI-PaRAD)|56|3.066|3.07|3.08|3.07|0.083|16.988|0.014
strcpy (GNU libc 2.39)|56|4.111|4.117|4.143|4.117|0.084|12.667|0.011
strcpy (Arm OR 23.01)|56|7.315|7.459|7.704|7.46|1.357|6.992|0.095
strcpy (LI-PaRAD)|57|2.865|2.887|2.91|2.887|0.248|18.39|0.045
strcpy (GNU libc 2.39)|57|4.038|4.04|4.049|4.04|0.046|13.138|0.006
strcpy (Arm OR 23.01)|57|7.7|7.705|7.711|7.705|0.021|6.89|0.001
strcpy (LI-PaRAD)|58|3.063|3.067|3.071|3.067|0.065|17.614|0.012
strcpy (GNU libc 2.39)|58|4.112|4.115|4.149|4.116|0.09|13.124|0.012
strcpy (Arm OR 23.01)|58|7.315|7.458|7.64|7.461|1.173|7.241|0.085
strcpy (LI-PaRAD)|59|2.857|2.881|2.902|2.881|0.208|19.074|0.04
strcpy (GNU libc 2.39)|59|3.995|4.01|4.018|4.009|0.099|13.707|0.014
strcpy (Arm OR 23.01)|59|7.699|7.705|7.709|7.704|0.02|7.132|0.001
strcpy (LI-PaRAD)|60|3.066|3.07|3.079|3.07|0.086|18.202|0.016
strcpy (GNU libc 2.39)|60|4.111|4.116|4.134|4.116|0.07|13.575|0.01
strcpy (Arm OR 23.01)|60|7.315|7.456|7.69|7.456|1.346|7.496|0.101
strcpy (LI-PaRAD)|61|2.867|2.883|2.902|2.884|0.155|19.701|0.03
strcpy (GNU libc 2.39)|61|4.038|4.04|4.046|4.04|0.036|14.06|0.005
strcpy (Arm OR 23.01)|61|7.7|7.705|7.71|7.705|0.02|7.374|0.001
strcpy (LI-PaRAD)|62|3.064|3.067|3.077|3.067|0.073|18.827|0.014
strcpy (GNU libc 2.39)|62|4.111|4.115|4.12|4.115|0.042|14.032|0.006
strcpy (Arm OR 23.01)|62|7.315|7.454|7.677|7.463|1.205|7.738|0.093
strcpy (LI-PaRAD)|63|2.862|2.882|2.993|2.883|0.499|20.349|0.099
strcpy (GNU libc 2.39)|63|3.985|3.996|4.025|3.996|0.119|14.684|0.017
strcpy (Arm OR 23.01)|63|7.7|7.705|7.708|7.704|0.019|7.615|0.001
strcpy (LI-PaRAD)|64|3.949|4.322|4.39|4.292|1.952|13.893|0.283
strcpy (GNU libc 2.39)|64|4.601|4.603|4.649|4.608|0.26|12.935|0.033
strcpy (Arm OR 23.01)|64|9.628|9.729|10.476|9.765|1.819|6.106|0.107
strcpy (LI-PaRAD)|65|9.098|9.293|9.559|9.307|1.191|6.505|0.077
strcpy (GNU libc 2.39)|65|4.592|4.594|4.618|4.595|0.081|13.174|0.011
strcpy (Arm OR 23.01)|65|11.035|12.574|12.917|12.444|3.569|4.871|0.18
strcpy (LI-PaRAD)|66|3.909|4.265|4.336|4.21|2.948|14.612|0.444
strcpy (GNU libc 2.39)|66|4.601|4.604|4.626|4.605|0.078|13.348|0.01
strcpy (Arm OR 23.01)|66|9.628|9.735|10.626|9.787|2.034|6.283|0.122
strcpy (LI-PaRAD)|67|9.237|9.313|9.435|9.317|0.297|6.698|0.02
strcpy (GNU libc 2.39)|67|4.56|4.562|4.593|4.563|0.099|13.674|0.013
strcpy (Arm OR 23.01)|67|9.508|9.907|11.25|10.002|4.983|6.254|0.301
strcpy (LI-PaRAD)|68|3.864|4.286|4.339|4.243|2.372|14.933|0.37
strcpy (GNU libc 2.39)|68|4.601|4.602|4.637|4.604|0.113|13.756|0.015
strcpy (Arm OR 23.01)|68|9.628|9.729|10.477|9.756|1.416|6.493|0.089
strcpy (LI-PaRAD)|69|9.064|9.206|9.486|9.247|0.895|6.95|0.062
strcpy (GNU libc 2.39)|69|4.59|4.594|4.599|4.594|0.045|13.988|0.006
strcpy (Arm OR 23.01)|69|11.067|12.536|12.957|12.421|3.775|5.181|0.203
strcpy (LI-PaRAD)|70|3.937|4.309|4.353|4.266|2.273|15.292|0.361
strcpy (GNU libc 2.39)|70|4.601|4.605|4.649|4.614|0.369|14.129|0.052
strcpy (Arm OR 23.01)|70|9.628|9.724|10.578|9.771|1.876|6.674|0.119
strcpy (LI-PaRAD)|71|9.274|9.313|9.324|9.312|0.06|7.101|0.004
strcpy (GNU libc 2.39)|71|4.557|4.56|4.565|4.56|0.043|14.499|0.006
strcpy (Arm OR 23.01)|71|9.506|10.062|12.88|10.16|6.478|6.533|0.39
strcpy (LI-PaRAD)|72|3.819|3.839|3.858|3.839|0.174|17.469|0.03
strcpy (GNU libc 2.39)|72|4.58|4.583|4.611|4.585|0.097|14.626|0.014
strcpy (Arm OR 23.01)|72|9.988|10.303|10.726|10.32|1.656|6.499|0.107
strcpy (LI-PaRAD)|73|3.783|3.824|3.894|3.829|0.595|17.756|0.105
strcpy (GNU libc 2.39)|73|4.584|4.587|4.612|4.588|0.077|14.818|0.011
strcpy (Arm OR 23.01)|73|9.627|9.697|10.054|9.704|0.928|7.006|0.064
strcpy (LI-PaRAD)|74|3.7|3.839|3.858|3.837|0.435|17.963|0.08
strcpy (GNU libc 2.39)|74|4.58|4.583|4.592|4.583|0.044|15.037|0.007
strcpy (Arm OR 23.01)|74|9.999|10.344|10.786|10.37|1.764|6.648|0.117
strcpy (LI-PaRAD)|75|3.765|3.803|3.843|3.806|0.438|18.354|0.08
strcpy (GNU libc 2.39)|75|4.551|4.554|4.59|4.555|0.11|15.335|0.017
strcpy (Arm OR 23.01)|75|9.627|9.701|10.315|9.723|1.247|7.185|0.087
strcpy (LI-PaRAD)|76|3.815|3.839|3.856|3.837|0.202|18.446|0.037
strcpy (GNU libc 2.39)|76|4.58|4.583|4.616|4.584|0.122|15.44|0.019
strcpy (Arm OR 23.01)|76|9.986|10.335|10.71|10.325|1.628|6.857|0.112
strcpy (LI-PaRAD)|77|3.78|3.826|3.896|3.825|0.503|18.75|0.094
strcpy (GNU libc 2.39)|77|4.585|4.588|4.614|4.589|0.095|15.626|0.015
strcpy (Arm OR 23.01)|77|9.627|9.673|10.423|9.719|1.605|7.38|0.114
strcpy (LI-PaRAD)|78|3.745|3.838|3.854|3.837|0.3|18.933|0.058
strcpy (GNU libc 2.39)|78|4.581|4.584|4.62|4.585|0.11|15.844|0.017
strcpy (Arm OR 23.01)|78|9.976|10.313|10.646|10.312|1.566|7.046|0.11
strcpy (LI-PaRAD)|79|3.794|3.804|3.828|3.805|0.108|19.338|0.021
strcpy (GNU libc 2.39)|79|4.555|4.558|4.592|4.561|0.204|16.132|0.033
strcpy (Arm OR 23.01)|79|9.627|9.706|10.133|9.733|1.111|7.56|0.083
strcpy (LI-PaRAD)|80|3.845|3.887|4.002|3.903|1.248|19.091|0.235
strcpy (GNU libc 2.39)|80|5.316|5.319|5.364|5.323|0.205|13.997|0.028
strcpy (Arm OR 23.01)|80|9.955|10.335|10.719|10.333|1.641|7.212|0.118
strcpy (LI-PaRAD)|81|3.778|3.955|3.972|3.909|1.612|19.303|0.314
strcpy (GNU libc 2.39)|81|5.282|5.287|5.291|5.286|0.041|14.27|0.006
strcpy (Arm OR 23.01)|81|9.628|9.691|10.055|9.71|0.909|7.769|0.07
