ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (Arm OR 23.01)|39|11.359|11.365|11.395|11.365|0.033|3.196|0.001
strchr (LI-PaRAD)|40|7.122|7.128|7.13|7.127|0.028|5.227|0.001
strchr (GNU libc 2.39)|40|3.848|3.853|3.862|3.853|0.049|9.669|0.005
strchr (Arm OR 23.01)|40|11.361|11.365|11.374|11.365|0.02|3.278|0.001
strchr (LI-PaRAD)|41|7.123|7.127|7.141|7.127|0.039|5.358|0.002
strchr (GNU libc 2.39)|41|3.848|3.852|3.861|3.853|0.044|9.912|0.004
strchr (Arm OR 23.01)|41|11.361|11.365|11.369|11.365|0.019|3.36|0.001
strchr (LI-PaRAD)|42|7.122|7.128|7.136|7.127|0.033|5.488|0.002
strchr (GNU libc 2.39)|42|3.848|3.853|3.859|3.853|0.043|10.153|0.004
strchr (Arm OR 23.01)|42|11.361|11.365|11.372|11.365|0.019|3.442|0.001
strchr (LI-PaRAD)|43|7.122|7.127|7.152|7.127|0.048|5.619|0.003
strchr (GNU libc 2.39)|43|3.848|3.853|3.855|3.853|0.038|10.395|0.004
strchr (Arm OR 23.01)|43|11.361|11.365|11.381|11.365|0.023|3.524|0.001
strchr (LI-PaRAD)|44|7.122|7.127|7.138|7.127|0.035|5.75|0.002
strchr (GNU libc 2.39)|44|3.848|3.852|3.857|3.852|0.04|10.637|0.004
strchr (Arm OR 23.01)|44|11.361|11.365|11.369|11.365|0.018|3.606|0.001
strchr (LI-PaRAD)|45|7.122|7.127|7.137|7.127|0.033|5.88|0.002
strchr (GNU libc 2.39)|45|3.848|3.852|3.86|3.853|0.042|10.878|0.005
strchr (Arm OR 23.01)|45|11.361|11.365|11.37|11.365|0.018|3.688|0.001
strchr (LI-PaRAD)|46|7.123|7.128|7.137|7.127|0.031|6.011|0.002
strchr (GNU libc 2.39)|46|3.848|3.853|3.858|3.853|0.045|11.12|0.005
strchr (Arm OR 23.01)|46|11.361|11.365|11.369|11.365|0.018|3.77|0.001
strchr (LI-PaRAD)|47|7.122|7.128|7.131|7.127|0.028|6.142|0.002
strchr (GNU libc 2.39)|47|3.848|3.852|3.861|3.853|0.049|11.362|0.006
strchr (Arm OR 23.01)|47|11.361|11.365|11.369|11.365|0.017|3.852|0.001
strchr (LI-PaRAD)|48|7.122|7.127|7.134|7.127|0.03|6.273|0.002
strchr (GNU libc 2.39)|48|4.236|4.238|4.248|4.238|0.054|10.548|0.006
strchr (Arm OR 23.01)|48|11.359|11.365|11.388|11.365|0.029|3.933|0.001
strchr (LI-PaRAD)|49|7.123|7.128|7.138|7.127|0.037|6.403|0.002
strchr (GNU libc 2.39)|49|4.236|4.238|4.247|4.238|0.048|10.768|0.005
strchr (Arm OR 23.01)|49|11.361|11.365|11.369|11.365|0.017|4.015|0.001
strchr (LI-PaRAD)|50|7.122|7.128|7.137|7.127|0.035|6.534|0.002
strchr (GNU libc 2.39)|50|4.236|4.238|4.245|4.238|0.045|10.988|0.005
strchr (Arm OR 23.01)|50|11.361|11.365|11.371|11.365|0.02|4.097|0.001
strchr (LI-PaRAD)|51|7.122|7.128|7.135|7.127|0.031|6.664|0.002
strchr (GNU libc 2.39)|51|4.235|4.238|4.267|4.238|0.08|11.207|0.009
strchr (Arm OR 23.01)|51|11.361|11.365|11.37|11.365|0.018|4.179|0.001
strchr (LI-PaRAD)|52|7.122|7.128|7.142|7.127|0.037|6.795|0.003
strchr (GNU libc 2.39)|52|4.236|4.238|4.242|4.238|0.04|11.428|0.005
strchr (Arm OR 23.01)|52|11.361|11.365|11.409|11.366|0.049|4.261|0.002
strchr (LI-PaRAD)|53|7.122|7.128|7.143|7.127|0.036|6.925|0.002
strchr (GNU libc 2.39)|53|4.235|4.238|4.242|4.238|0.039|11.648|0.005
strchr (Arm OR 23.01)|53|11.361|11.365|11.369|11.365|0.018|4.343|0.001
strchr (LI-PaRAD)|54|7.123|7.128|7.135|7.127|0.03|7.056|0.002
strchr (GNU libc 2.39)|54|4.236|4.238|4.247|4.238|0.052|11.867|0.006
strchr (Arm OR 23.01)|54|11.361|11.365|11.372|11.365|0.019|4.425|0.001
strchr (LI-PaRAD)|55|7.122|7.127|7.134|7.127|0.032|7.187|0.002
strchr (GNU libc 2.39)|55|4.236|4.238|4.248|4.238|0.054|12.086|0.007
strchr (Arm OR 23.01)|55|11.361|11.365|11.369|11.365|0.019|4.507|0.001
strchr (LI-PaRAD)|56|7.123|7.128|7.139|7.127|0.038|7.317|0.003
strchr (GNU libc 2.39)|56|4.236|4.238|4.247|4.238|0.042|12.307|0.005
strchr (Arm OR 23.01)|56|11.36|11.365|11.371|11.365|0.017|4.589|0.001
strchr (LI-PaRAD)|57|7.122|7.127|7.135|7.127|0.032|7.449|0.002
strchr (GNU libc 2.39)|57|4.236|4.238|4.248|4.238|0.047|12.527|0.006
strchr (Arm OR 23.01)|57|11.36|11.366|14.953|11.401|3.131|4.66|0.112
strchr (LI-PaRAD)|58|7.122|7.127|7.138|7.127|0.036|7.579|0.003
strchr (GNU libc 2.39)|58|4.236|4.238|4.267|4.238|0.078|12.746|0.01
strchr (Arm OR 23.01)|58|11.36|11.365|11.371|11.365|0.019|4.753|0.001
strchr (LI-PaRAD)|59|7.123|7.127|7.137|7.127|0.029|7.71|0.002
strchr (GNU libc 2.39)|59|4.236|4.238|4.245|4.238|0.043|12.966|0.006
strchr (Arm OR 23.01)|59|11.361|11.365|11.379|11.365|0.021|4.835|0.001
strchr (LI-PaRAD)|60|7.123|7.127|7.14|7.127|0.034|7.84|0.003
strchr (GNU libc 2.39)|60|4.236|4.238|4.242|4.238|0.041|13.186|0.005
strchr (Arm OR 23.01)|60|11.36|11.365|11.368|11.365|0.018|4.917|0.001
strchr (LI-PaRAD)|61|7.123|7.128|7.133|7.127|0.03|7.971|0.002
strchr (GNU libc 2.39)|61|4.236|4.238|4.252|4.238|0.059|13.405|0.008
strchr (Arm OR 23.01)|61|11.36|11.365|11.396|11.365|0.033|4.999|0.002
strchr (LI-PaRAD)|62|7.123|7.128|7.14|7.127|0.036|8.101|0.003
strchr (GNU libc 2.39)|62|4.236|4.238|4.251|4.238|0.051|13.625|0.007
strchr (Arm OR 23.01)|62|11.361|11.365|11.372|11.365|0.019|5.081|0.001
strchr (LI-PaRAD)|63|7.123|7.128|7.137|7.127|0.03|8.232|0.002
strchr (GNU libc 2.39)|63|4.236|4.238|4.248|4.238|0.049|13.845|0.007
strchr (Arm OR 23.01)|63|11.361|11.365|11.372|11.365|0.019|5.163|0.001
strchr (LI-PaRAD)|64|8.857|8.86|8.889|8.861|0.043|6.727|0.003
strchr (GNU libc 2.39)|64|4.62|4.623|4.628|4.623|0.046|12.893|0.006
strchr (Arm OR 23.01)|64|14.636|14.64|16.471|14.661|1.25|4.066|0.045
strchr (LI-PaRAD)|65|8.858|8.86|8.868|8.861|0.026|6.832|0.002
strchr (GNU libc 2.39)|65|4.62|4.623|4.63|4.623|0.049|13.093|0.006
strchr (Arm OR 23.01)|65|14.636|14.64|14.67|14.64|0.025|4.135|0.001
strchr (LI-PaRAD)|66|8.858|8.86|8.868|8.861|0.025|6.937|0.002
strchr (GNU libc 2.39)|66|4.62|4.623|4.635|4.623|0.053|13.295|0.007
strchr (Arm OR 23.01)|66|14.635|14.64|14.647|14.64|0.015|4.199|0.001
strchr (LI-PaRAD)|67|8.858|8.86|8.87|8.861|0.027|7.042|0.002
strchr (GNU libc 2.39)|67|4.62|4.623|4.629|4.623|0.044|13.497|0.006
strchr (Arm OR 23.01)|67|14.635|14.64|14.644|14.64|0.014|4.262|0.001
strchr (LI-PaRAD)|68|8.858|8.86|8.87|8.861|0.026|7.147|0.002
strchr (GNU libc 2.39)|68|4.62|4.623|4.633|4.623|0.053|13.698|0.007
strchr (Arm OR 23.01)|68|14.636|14.639|14.672|14.64|0.028|4.326|0.001
strchr (LI-PaRAD)|69|8.858|8.86|8.87|8.861|0.029|7.252|0.002
strchr (GNU libc 2.39)|69|4.62|4.623|4.639|4.623|0.058|13.899|0.008
strchr (Arm OR 23.01)|69|14.635|14.639|14.644|14.639|0.014|4.39|0.001
strchr (LI-PaRAD)|70|8.856|8.86|8.889|8.861|0.041|7.357|0.003
strchr (GNU libc 2.39)|70|4.62|4.623|4.627|4.623|0.043|14.102|0.006
strchr (Arm OR 23.01)|70|14.635|14.639|14.647|14.639|0.014|4.453|0.001
strchr (LI-PaRAD)|71|8.856|8.86|8.875|8.861|0.037|7.462|0.003
strchr (GNU libc 2.39)|71|4.62|4.623|4.631|4.623|0.048|14.303|0.007
strchr (Arm OR 23.01)|71|14.634|14.64|14.644|14.64|0.014|4.517|0.001
strchr (LI-PaRAD)|72|8.858|8.86|8.922|8.862|0.075|7.567|0.006
strchr (GNU libc 2.39)|72|4.62|4.623|4.628|4.623|0.043|14.505|0.006
strchr (Arm OR 23.01)|72|14.635|14.639|14.644|14.64|0.014|4.58|0.001
strchr (LI-PaRAD)|73|8.858|8.861|8.869|8.861|0.026|7.672|0.002
strchr (GNU libc 2.39)|73|4.621|4.623|4.629|4.623|0.044|14.706|0.006
strchr (Arm OR 23.01)|73|14.635|14.64|14.645|14.64|0.015|4.644|0.001
strchr (LI-PaRAD)|74|8.858|8.86|8.875|8.861|0.03|7.778|0.002
strchr (GNU libc 2.39)|74|4.62|4.623|4.636|4.623|0.053|14.907|0.008
strchr (Arm OR 23.01)|74|14.635|14.639|14.643|14.639|0.014|4.708|0.001
strchr (LI-PaRAD)|75|8.858|8.86|8.868|8.861|0.024|7.883|0.002
strchr (GNU libc 2.39)|75|4.62|4.623|4.629|4.623|0.045|15.109|0.007
strchr (Arm OR 23.01)|75|14.635|14.639|14.672|14.64|0.026|4.771|0.001
strchr (LI-PaRAD)|76|8.858|8.861|8.903|8.862|0.064|7.987|0.005
strchr (GNU libc 2.39)|76|4.62|4.623|4.632|4.623|0.047|15.311|0.007
strchr (Arm OR 23.01)|76|14.636|14.64|14.644|14.64|0.013|4.835|0.001
strchr (LI-PaRAD)|77|8.858|8.86|8.87|8.861|0.028|8.093|0.002
strchr (GNU libc 2.39)|77|4.553|4.559|4.627|4.584|0.719|15.645|0.112
strchr (Arm OR 23.01)|77|14.635|14.639|14.654|14.639|0.017|4.899|0.001
strchr (LI-PaRAD)|78|8.858|8.86|8.873|8.861|0.028|8.198|0.002
strchr (GNU libc 2.39)|78|4.62|4.623|4.632|4.623|0.046|15.714|0.007
strchr (Arm OR 23.01)|78|14.635|14.639|14.67|14.639|0.025|4.962|0.001
strchr (LI-PaRAD)|79|8.857|8.86|8.873|8.861|0.029|8.304|0.002
strchr (GNU libc 2.39)|79|4.621|4.623|4.633|4.623|0.049|15.914|0.008
strchr (Arm OR 23.01)|79|14.635|14.639|14.647|14.639|0.014|5.026|0.001
strchr (LI-PaRAD)|80|8.858|8.86|8.869|8.861|0.026|8.408|0.002
strchr (GNU libc 2.39)|80|5.239|5.245|5.254|5.245|0.052|14.205|0.007
strchr (Arm OR 23.01)|80|14.636|14.639|14.683|14.64|0.032|5.089|0.002
strchr (LI-PaRAD)|81|8.858|8.86|8.868|8.861|0.026|8.514|0.002
strchr (GNU libc 2.39)|81|5.236|5.243|5.246|5.243|0.041|14.388|0.006
strchr (Arm OR 23.01)|81|14.635|14.639|14.652|14.64|0.018|5.153|0.001
strchr (LI-PaRAD)|82|8.858|8.86|8.875|8.861|0.032|8.619|0.003
strchr (GNU libc 2.39)|82|5.238|5.243|5.261|5.243|0.062|14.567|0.009
strchr (Arm OR 23.01)|82|14.635|14.639|14.644|14.64|0.014|5.217|0.001
strchr (LI-PaRAD)|83|8.858|8.86|8.875|8.861|0.028|8.724|0.002
strchr (GNU libc 2.39)|83|5.243|5.25|5.254|5.249|0.042|14.725|0.006
strchr (Arm OR 23.01)|83|14.635|14.639|14.724|14.64|0.059|5.28|0.003
strchr (LI-PaRAD)|84|8.858|8.86|8.87|8.861|0.027|8.829|0.002
strchr (GNU libc 2.39)|84|5.236|5.241|5.251|5.241|0.046|14.925|0.007
strchr (Arm OR 23.01)|84|14.635|14.639|14.66|14.639|0.019|5.344|0.001
strchr (LI-PaRAD)|85|8.858|8.861|8.871|8.861|0.026|8.934|0.002
strchr (GNU libc 2.39)|85|5.236|5.242|5.249|5.242|0.045|15.103|0.007
strchr (Arm OR 23.01)|85|14.635|14.64|16.558|14.662|1.307|5.4|0.063
strchr (LI-PaRAD)|86|8.857|8.86|8.873|8.861|0.03|9.039|0.003
strchr (GNU libc 2.39)|86|5.236|5.24|5.251|5.24|0.046|15.286|0.007
strchr (Arm OR 23.01)|86|14.633|14.639|14.647|14.639|0.018|5.471|0.001
strchr (LI-PaRAD)|87|8.858|8.86|8.88|8.861|0.038|9.144|0.003
strchr (GNU libc 2.39)|87|5.235|5.241|5.253|5.241|0.053|15.46|0.008
strchr (Arm OR 23.01)|87|14.634|14.639|14.646|14.639|0.013|5.535|0.001
strchr (LI-PaRAD)|88|8.857|8.86|8.872|8.861|0.029|9.249|0.003
strchr (GNU libc 2.39)|88|5.239|5.242|5.252|5.242|0.043|15.634|0.007
strchr (Arm OR 23.01)|88|14.634|14.64|14.673|14.64|0.027|5.598|0.002
strchr (LI-PaRAD)|89|8.858|8.861|8.868|8.861|0.027|9.354|0.003
strchr (GNU libc 2.39)|89|5.238|5.242|5.255|5.242|0.054|15.813|0.009
strchr (Arm OR 23.01)|89|14.635|14.64|14.648|14.64|0.015|5.662|0.001
strchr (LI-PaRAD)|90|8.858|8.86|8.871|8.861|0.028|9.46|0.003
strchr (GNU libc 2.39)|90|5.235|5.241|5.246|5.24|0.043|15.995|0.007
strchr (Arm OR 23.01)|90|14.635|14.639|14.643|14.639|0.014|5.726|0.001
strchr (LI-PaRAD)|91|8.858|8.861|8.867|8.861|0.026|9.564|0.002
strchr (GNU libc 2.39)|91|5.24|5.246|5.259|5.246|0.059|16.155|0.01
strchr (Arm OR 23.01)|91|14.635|14.64|14.648|14.64|0.016|5.789|0.001
strchr (LI-PaRAD)|92|8.857|8.861|8.873|8.861|0.031|9.669|0.003
strchr (GNU libc 2.39)|92|5.237|5.242|5.258|5.242|0.055|16.345|0.009
strchr (Arm OR 23.01)|92|14.636|14.64|14.649|14.64|0.016|5.853|0.001
strchr (LI-PaRAD)|93|8.858|8.861|8.885|8.861|0.038|9.774|0.004
strchr (GNU libc 2.39)|93|5.236|5.242|5.247|5.242|0.046|16.524|0.008
strchr (Arm OR 23.01)|93|14.635|14.639|14.661|14.64|0.021|5.916|0.001
strchr (LI-PaRAD)|94|8.858|8.86|8.871|8.861|0.029|9.88|0.003
strchr (GNU libc 2.39)|94|5.235|5.239|5.25|5.239|0.052|16.711|0.009
strchr (Arm OR 23.01)|94|14.635|14.64|14.648|14.64|0.016|5.98|0.001
strchr (LI-PaRAD)|95|8.858|8.861|8.872|8.861|0.029|9.985|0.003
strchr (GNU libc 2.39)|95|5.239|5.243|5.248|5.243|0.043|16.873|0.007
strchr (Arm OR 23.01)|95|14.634|14.64|14.67|14.64|0.025|6.043|0.002
strchr (LI-PaRAD)|96|10.398|10.402|10.669|10.416|0.482|8.584|0.041
strchr (GNU libc 2.39)|96|5.973|5.978|5.993|5.978|0.04|14.955|0.006
strchr (Arm OR 23.01)|96|18.835|18.851|18.872|18.851|0.039|4.743|0.002
