ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (LI-PaRAD)|39|7.225|7.319|7.35|7.309|0.305|4.97|0.015
strncmp (GNU libc 2.39)|39|7.16|7.166|7.172|7.166|0.031|5.069|0.002
strncmp (Arm OR 23.01)|39|10.568|10.86|11.003|10.845|0.823|3.349|0.028
strncmp (LI-PaRAD)|40|7.158|7.351|7.513|7.348|1.037|5.07|0.053
strncmp (GNU libc 2.39)|40|7.192|7.237|7.243|7.236|0.076|5.148|0.004
strncmp (Arm OR 23.01)|40|12.132|12.135|12.139|12.135|0.013|3.07|0.0
strncmp (LI-PaRAD)|41|7.188|7.352|7.514|7.342|1.155|5.201|0.06
strncmp (GNU libc 2.39)|41|8.286|8.288|8.299|8.289|0.022|4.607|0.001
strncmp (Arm OR 23.01)|41|12.132|12.134|12.14|12.135|0.014|3.147|0.0
strncmp (LI-PaRAD)|42|7.197|7.372|7.513|7.364|1.154|5.312|0.061
strncmp (GNU libc 2.39)|42|8.187|8.188|8.202|8.189|0.026|4.777|0.001
strncmp (Arm OR 23.01)|42|12.132|12.135|12.139|12.135|0.013|3.223|0.0
strncmp (LI-PaRAD)|43|7.189|7.353|7.514|7.358|1.278|5.443|0.069
strncmp (GNU libc 2.39)|43|8.186|8.188|8.196|8.189|0.02|4.891|0.001
strncmp (Arm OR 23.01)|43|12.132|12.134|12.139|12.134|0.013|3.3|0.0
strncmp (LI-PaRAD)|44|7.171|7.349|7.513|7.34|1.067|5.584|0.06
strncmp (GNU libc 2.39)|44|8.228|8.288|8.335|8.282|0.242|4.948|0.012
strncmp (Arm OR 23.01)|44|12.132|12.135|12.139|12.135|0.013|3.377|0.0
strncmp (LI-PaRAD)|45|7.167|7.351|7.514|7.342|1.08|5.709|0.062
strncmp (GNU libc 2.39)|45|8.228|8.284|8.327|8.276|0.278|5.064|0.014
strncmp (Arm OR 23.01)|45|12.132|12.134|12.141|12.135|0.014|3.454|0.0
strncmp (LI-PaRAD)|46|7.184|7.359|7.513|7.359|1.151|5.823|0.067
strncmp (GNU libc 2.39)|46|8.254|8.256|8.266|8.256|0.023|5.189|0.001
strncmp (Arm OR 23.01)|46|12.132|12.134|12.138|12.135|0.013|3.53|0.0
