ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (Arm OR 23.01)|28|7.279|7.645|7.926|7.642|1.875|3.414|0.065
strrchr (LI-PaRAD)|29|5.39|5.394|5.399|5.393|0.036|5.008|0.002
strrchr (GNU libc 2.39)|29|3.849|3.852|3.855|3.852|0.033|7.011|0.002
strrchr (Arm OR 23.01)|29|7.236|7.701|7.898|7.661|2.005|3.527|0.071
strrchr (LI-PaRAD)|30|5.39|5.394|5.399|5.393|0.036|5.18|0.002
strrchr (GNU libc 2.39)|30|3.849|3.852|3.856|3.852|0.039|7.253|0.003
strrchr (Arm OR 23.01)|30|7.279|7.659|7.898|7.652|2.041|3.653|0.075
strrchr (LI-PaRAD)|31|5.389|5.394|5.401|5.394|0.042|5.353|0.002
strrchr (GNU libc 2.39)|31|3.849|3.852|3.855|3.852|0.035|7.494|0.003
strrchr (Arm OR 23.01)|31|7.329|7.636|7.899|7.626|2.311|3.788|0.088
strrchr (LI-PaRAD)|32|6.694|7.002|7.13|6.982|1.601|4.27|0.069
strrchr (GNU libc 2.39)|32|4.235|4.237|4.27|4.238|0.086|7.032|0.006
strrchr (Arm OR 23.01)|32|10.04|10.388|10.501|10.375|0.71|2.873|0.021
strrchr (LI-PaRAD)|33|6.72|6.968|7.129|6.976|1.358|4.406|0.06
strrchr (GNU libc 2.39)|33|4.236|4.238|4.243|4.238|0.035|7.252|0.003
strrchr (Arm OR 23.01)|33|10.2|10.382|10.498|10.38|0.597|2.961|0.018
strrchr (LI-PaRAD)|34|6.687|6.983|7.129|6.974|1.361|4.541|0.062
strrchr (GNU libc 2.39)|34|4.236|4.238|4.245|4.238|0.039|7.472|0.003
strrchr (Arm OR 23.01)|34|10.233|10.383|10.495|10.382|0.603|3.05|0.018
strrchr (LI-PaRAD)|35|6.733|6.972|7.13|6.962|1.519|4.683|0.072
strrchr (GNU libc 2.39)|35|4.235|4.236|4.242|4.236|0.029|7.694|0.002
strrchr (Arm OR 23.01)|35|10.192|10.391|10.493|10.379|0.616|3.141|0.019
strrchr (LI-PaRAD)|36|6.691|6.996|7.131|6.99|1.31|4.797|0.063
strrchr (GNU libc 2.39)|36|4.236|4.238|4.245|4.238|0.042|7.911|0.003
strrchr (Arm OR 23.01)|36|10.256|10.388|10.497|10.382|0.556|3.23|0.018
strrchr (LI-PaRAD)|37|6.743|6.992|7.129|6.962|1.556|4.95|0.077
strrchr (GNU libc 2.39)|37|4.236|4.238|4.247|4.238|0.039|8.131|0.003
strrchr (Arm OR 23.01)|37|10.206|10.39|10.5|10.382|0.627|3.319|0.021
strrchr (LI-PaRAD)|38|6.739|6.982|7.128|6.956|1.48|5.089|0.075
strrchr (GNU libc 2.39)|38|4.236|4.238|4.242|4.238|0.036|8.351|0.003
